Track,Artist,Album,Release_Year,Duration,Time_Signature,Danceability,Energy,Track_Key,Loudness,Song_Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Popularity_Category,Energy_Range,Danceability_Range,Loudness_Range,Liveness_Range
Blick Sum,Latto,Sugar Honey Iced Tea,2023,191546,4,1.0,1.0,9,-7.0,1,0.0,0.0,0.0,1.0,0.0,150.0,58,Medium,High,High,High,High
Blinding Lights,The Weeknd,After Hours,2019,200040,4,1.0,1.0,1,-6.0,1,0.0,0.0,0.0,0.0,0.0,171.0,89,High,High,High,High,Low
Bloody Mary,Lady Gaga,Born This Way (Special Edition),2011,244760,4,1.0,1.0,9,-6.0,0,0.0,0.0,0.0,0.0,0.0,100.0,67,Medium,High,High,High,Low
Bodak Yellow,Cardi B,Invasion of Privacy,2017,223712,4,1.0,1.0,11,-6.0,0,0.0,0.0,0.0,0.0,0.0,125.0,70,Medium,High,High,High,Low
Bora Bora,Lil Durk,Love Songs 4 the Streets 2,2022,162205,4,1.0,1.0,1,-5.0,1,0.0,0.0,0.0,0.0,0.0,160.0,54,Medium,High,High,High,Low
Born This Way,Lady Gaga,Born This Way (Special Edition),2011,260252,4,1.0,1.0,11,-5.0,1,0.0,0.0,0.0,0.0,0.0,124.0,67,Medium,High,High,High,Low
Boss Bitch,Doja Cat,Boss Bitch,2021,134239,4,1.0,1.0,10,-5.0,0,0.0,0.0,0.0,0.0,1.0,126.0,76,Medium,High,High,High,Low
Bounce,Rema,Bounce,2022,187782,4,0.0,1.0,11,-7.0,0,0.0,0.0,0.0,0.0,1.0,115.0,57,Medium,High,Low,High,Low
Break Free,Ariana Grande,My Everything - Deluxe,2014,214840,4,1.0,1.0,7,-5.0,0,0.0,0.0,0.0,0.0,0.0,130.0,76,Medium,High,High,High,Low
Break It Off,PinkPantheress,Break It Off,2023,95317,4,1.0,1.0,6,-5.0,0,0.0,0.0,0.0,0.0,1.0,172.0,62,Medium,High,High,High,Low
Break My Heart,Dua Lipa,Future Nostalgia,2020,221820,4,1.0,1.0,4,-3.0,0,0.0,0.0,0.0,0.0,0.0,113.0,75,Medium,High,High,High,Low
Break Up in the End,Cole Swindell,All of It,2018,199693,4,1.0,0.0,1,-8.0,1,0.0,0.0,0.0,0.0,0.0,86.0,61,Medium,Low,High,High,Low
Break Up with Him,Old Dominion,Meat and Candy,2015,207733,4,1.0,1.0,8,-5.0,1,0.0,0.0,0.0,0.0,1.0,152.0,61,Medium,High,High,High,Low
Breakaway,Kelly Clarkson,Breakaway,2004,237000,3,0.0,1.0,9,-4.0,0,0.0,0.0,0.0,0.0,0.0,160.0,61,Medium,High,Low,High,Low
Broken Clocks,SZA,Ctrl,2017,231253,4,1.0,1.0,6,-7.0,1,0.0,0.0,0.0,0.0,0.0,113.0,82,High,High,High,High,Low
brutal,Olivia Rodrigo,SOUR,2021,143746,4,1.0,1.0,4,-6.0,1,0.0,0.0,0.0,0.0,0.0,124.0,77,Medium,High,High,High,Low
Bulletproof (feat. Avril Lavigne),Nate Smith,Bulletproof (feat. Avril Lavigne),2023,183919,4,1.0,1.0,7,-5.0,1,0.0,0.0,0.0,0.0,0.0,80.0,63,Medium,High,High,High,Low
Burn,David Kushner,Footprints I Found,2023,179173,4,1.0,0.0,0,-10.0,1,0.0,1.0,0.0,0.0,0.0,126.0,70,Medium,Low,High,High,Low
Burn It Down,Parker McCollum,Never Enough,2022,233869,4,0.0,1.0,2,-6.0,1,0.0,0.0,0.0,0.0,0.0,162.0,67,Medium,High,Low,High,Low
"Burn, Burn, Burn",Zach Bryan,"Burn, Burn, Burn",2022,268856,4,1.0,0.0,3,-11.0,1,0.0,1.0,0.0,0.0,0.0,83.0,82,High,Low,High,Medium,Low
Burnin' It Down,Jason Aldean,"Old Boots, New Dirt",2014,219160,4,1.0,1.0,6,-7.0,1,0.0,0.0,0.0,0.0,1.0,136.0,65,Medium,High,High,High,Low
bury a friend,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,193143,4,1.0,0.0,8,-15.0,1,0.0,1.0,0.0,0.0,0.0,120.0,73,Medium,Low,High,Medium,Low
Buy Dirt,Jordan Davis,Buy Dirt,2021,167480,4,1.0,1.0,4,-7.0,1,0.0,1.0,0.0,0.0,0.0,178.0,80,High,High,High,High,Low
C U Girl,Steve Lacy,C U Girl,2022,129697,4,0.0,0.0,11,-9.0,0,0.0,1.0,0.0,0.0,0.0,100.0,81,High,Low,Low,High,Low
Call On Me,RAYE,Call On Me,2023,194880,4,1.0,1.0,0,-4.0,1,0.0,0.0,0.0,1.0,0.0,122.0,45,Low,High,High,High,High
Call Your Mom,Noah Kahan,Stick Season (We'll All Be Here Forever),2023,278670,4,0.0,0.0,0,-12.0,1,0.0,1.0,0.0,0.0,0.0,172.0,74,Medium,Low,Low,Medium,Low
Callaita,Bad Bunny,Un Verano Sin Ti,2019,250533,4,1.0,1.0,2,-5.0,1,0.0,1.0,0.0,0.0,0.0,176.0,76,Medium,High,High,High,Low
Calm Down,Rema,Calm Down,2022,219813,4,1.0,1.0,11,-6.0,1,0.0,0.0,0.0,0.0,1.0,107.0,73,Medium,High,High,High,Low
Camelot,NLE Choppa,Top Shotta,2020,148759,4,1.0,1.0,7,-5.0,1,0.0,0.0,0.0,1.0,1.0,175.0,71,Medium,High,High,High,High
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,2015,213520,4,1.0,1.0,9,-6.0,0,0.0,0.0,0.0,0.0,1.0,108.0,81,High,High,High,High,Low
Can't Remember to Forget You (feat. Rihanna),Shakira,Shakira. (Expanded Edition) [Spanish Version],2014,206866,4,1.0,1.0,11,-4.0,0,0.0,0.0,0.0,0.0,1.0,138.0,74,Medium,High,High,High,Low
cardigan,Taylor Swift,folklore,2020,239560,4,1.0,1.0,0,-9.0,0,0.0,1.0,0.0,0.0,1.0,130.0,85,High,High,High,High,Low
Castle on the Hill,Ed Sheeran,ï¿½ (Deluxe),2017,261153,4,0.0,1.0,2,-5.0,1,0.0,0.0,0.0,0.0,0.0,135.0,78,Medium,High,Low,High,Low
Catalina,NLE Choppa,Catalina,2022,180000,4,1.0,1.0,10,-4.0,0,0.0,0.0,0.0,0.0,1.0,117.0,61,Medium,High,High,High,Low
Chasin' You,Morgan Wallen,If I Know Me,2018,205453,4,1.0,1.0,7,-6.0,1,0.0,1.0,0.0,0.0,0.0,97.0,79,Medium,High,High,High,Low
Chicken Fried,Zac Brown Band,The Foundation,2008,238146,4,1.0,1.0,6,-4.0,1,0.0,1.0,0.0,0.0,1.0,170.0,78,Medium,High,High,High,Low
Chillin' It,Cole Swindell,Cole Swindell,2013,196746,4,1.0,1.0,9,-3.0,1,0.0,1.0,0.0,0.0,1.0,138.0,64,Medium,High,High,High,Low
Chun-Li,Nicki Minaj,Queen,2018,191600,5,1.0,1.0,6,-5.0,0,0.0,0.0,0.0,0.0,0.0,129.0,66,Medium,High,High,High,Low
Clarity,Kim Petras,Clarity,2022,122872,4,1.0,1.0,3,-5.0,1,0.0,0.0,0.0,0.0,1.0,160.0,37,Low,High,High,High,Low
clouds,JVKE,clouds,2021,162615,4,1.0,1.0,11,-4.0,1,0.0,0.0,0.0,0.0,1.0,95.0,67,Medium,High,High,High,Low
Coconuts,Kim Petras,Coconuts,2022,168559,4,1.0,1.0,2,-5.0,0,0.0,0.0,0.0,0.0,0.0,112.0,52,Medium,High,High,High,Low
coffee,Miguel,Wildheart (Deluxe Version),2015,286573,4,1.0,1.0,10,-7.0,0,0.0,0.0,0.0,0.0,0.0,81.0,64,Medium,High,High,High,Low
Cold As You,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),2021,186106,4,1.0,1.0,6,-5.0,1,0.0,0.0,0.0,0.0,0.0,144.0,66,Medium,High,High,High,Low
Colder Weather,Zac Brown Band,You Get What You Give,2010,273893,4,1.0,0.0,3,-7.0,1,0.0,0.0,0.0,0.0,0.0,136.0,69,Medium,Low,High,High,Low
Come & Get It,Selena Gomez,Stars Dance (Bonus Track Version),2013,231986,4,1.0,1.0,7,-4.0,0,0.0,0.0,0.0,0.0,1.0,80.0,69,Medium,High,High,High,Low
Con Tus Besos,Eslabon Armado,Tu Veneno Mortal,2023,226821,3,1.0,1.0,6,-8.0,0,0.0,0.0,0.0,0.0,1.0,102.0,71,Medium,High,High,High,Low
Confidence,RAYE,Side Tape,2023,170666,4,1.0,1.0,8,-4.0,0,0.0,0.0,0.0,0.0,1.0,103.0,44,Low,High,High,High,Low
CONTIGO (with Tiï¿½sto),KAROL G,CONTIGO (with Tiï¿½sto),2023,192786,4,1.0,1.0,5,-8.0,1,0.0,0.0,0.0,0.0,0.0,122.0,82,High,High,High,High,Low
Cookie,NewJeans,NewJeans 1st EP 'New Jeans',2022,235562,4,1.0,1.0,0,-4.0,1,0.0,0.0,0.0,0.0,1.0,157.0,72,Medium,High,High,High,Low
Cool Again,Kane Brown,Cool Again,2020,164668,4,1.0,1.0,4,-5.0,1,0.0,0.0,0.0,0.0,1.0,90.0,52,Medium,High,High,High,Low
Cool Anymore,Jordan Davis,Cool Anymore,2022,200415,4,1.0,1.0,7,-5.0,1,0.0,0.0,0.0,0.0,1.0,156.0,48,Low,High,High,High,Low
Cool With You,NewJeans,NewJeans 2nd EP 'Get Up',2023,147880,4,1.0,1.0,5,-7.0,0,0.0,1.0,0.0,0.0,1.0,135.0,74,Medium,High,High,High,Low
Cover Me Up,Morgan Wallen,Dangerous: The Double Album,2020,293706,3,1.0,0.0,7,-8.0,1,0.0,0.0,0.0,0.0,0.0,128.0,73,Medium,Low,High,High,Low
Crazy,Doechii,Crazy,2023,134116,4,1.0,1.0,1,-4.0,1,0.0,0.0,0.0,0.0,0.0,129.0,51,Medium,High,High,High,Low
Crazy In Love (feat. Jay-Z),Beyoncï¿½,Dangerously In Love,2003,236133,4,1.0,1.0,2,-7.0,0,0.0,0.0,0.0,0.0,1.0,99.0,79,Medium,High,High,High,Low
Crazy Town,Jason Aldean,Wide Open,2009,183440,4,0.0,1.0,6,-3.0,1,0.0,0.0,0.0,0.0,0.0,181.0,55,Medium,High,Low,High,Low
CRAZYZ,Fuerza Regida,Pa las Baby's Y Belikeada,2023,204815,3,1.0,1.0,4,-7.0,0,0.0,0.0,0.0,0.0,1.0,126.0,79,Medium,High,High,High,Low
Creature,Jelly Roll,A Beautiful Disaster,2023,239592,4,1.0,1.0,8,-9.0,1,0.0,0.0,0.0,0.0,0.0,140.0,65,Medium,High,High,High,Low
Cuban Links (feat. Kevin Gates),Rod Wave,Ghetto Gospel,2023,192182,4,1.0,1.0,5,-9.0,1,0.0,0.0,0.0,0.0,1.0,88.0,57,Medium,High,High,High,Low
Cuz I Love You,Lizzo,Cuz I Love You,2019,179978,3,1.0,1.0,1,-4.0,1,0.0,0.0,0.0,0.0,1.0,162.0,53,Medium,High,High,High,Low
Dancin? In The Country,Tyler Hubbard,Tyler Hubbard,2023,179640,4,1.0,1.0,7,-5.0,1,0.0,0.0,0.0,0.0,1.0,115.0,72,Medium,High,High,High,Low
Dancing With A Stranger (with Normani),Sam Smith,Love Goes,2019,171029,4,1.0,1.0,8,-8.0,1,0.0,0.0,0.0,0.0,0.0,103.0,76,Medium,High,High,High,Low
Dancing With The Devil,Jelly Roll,Whitsitt Chapel,2021,217360,3,0.0,1.0,9,-5.0,1,0.0,0.0,0.0,0.0,0.0,180.0,52,Medium,High,Low,High,Low
Dangerous Woman,Ariana Grande,Dangerous Woman,2016,235946,3,1.0,1.0,4,-5.0,0,0.0,0.0,0.0,0.0,0.0,134.0,70,Medium,High,High,High,Low
Dark Red,Steve Lacy,Dark Red,2017,173104,4,1.0,1.0,6,-4.0,1,0.0,0.0,0.0,0.0,1.0,172.0,86,High,High,High,High,Low
Dawns (feat. Maggie Rogers),Zach Bryan,Dawns (feat. Maggie Rogers),2023,290892,4,0.0,0.0,0,-8.0,1,0.0,1.0,0.0,0.0,0.0,123.0,78,Medium,Low,Low,High,Low
Daylight,David Kushner,Daylight,2023,212953,4,1.0,0.0,2,-9.0,0,0.0,1.0,0.0,0.0,0.0,130.0,87,High,Low,High,High,Low
Dear Future Husband,Meghan Trainor,Title (Deluxe),2015,184226,4,1.0,1.0,1,-5.0,1,0.0,0.0,0.0,0.0,1.0,79.0,77,Medium,High,High,High,Low
Deja Vu,J. Cole,4 Your Eyez Only,2018,264746,4,1.0,0.0,9,-11.0,1,0.0,0.0,0.0,0.0,0.0,174.0,67,Medium,Low,High,Medium,Low
deja vu,Olivia Rodrigo,SOUR,2021,215506,4,0.0,1.0,2,-7.0,1,0.0,1.0,0.0,0.0,0.0,181.0,84,High,High,Low,High,Low
Deli,Ice Spice,Like..? (Deluxe),2023,126857,4,1.0,1.0,1,-6.0,1,0.0,0.0,0.0,0.0,0.0,140.0,73,Medium,High,High,High,Low
Delicate,Taylor Swift,reputation,2018,232253,4,1.0,0.0,9,-10.0,0,0.0,0.0,0.0,0.0,0.0,95.0,81,High,Low,High,High,Low
Dï¿½KITI,Bad Bunny,EL ï¿½LTIMO TOUR DEL MUNDO,2020,205090,4,1.0,1.0,4,-10.0,0,0.0,0.0,0.0,0.0,0.0,110.0,77,Medium,High,High,High,Low
Dial Drunk (with Post Malone),Noah Kahan,Dial Drunk (with Post Malone),2023,213817,4,1.0,1.0,8,-7.0,1,0.0,0.0,0.0,0.0,1.0,112.0,83,High,High,High,High,Low
Diamonds,Rihanna,Unapologetic (Edited Version),2012,225146,4,1.0,1.0,11,-5.0,0,0.0,0.0,0.0,0.0,0.0,92.0,71,Medium,High,High,High,Low
Did It First (with Central Cee),Ice Spice,Did It First (with Central Cee),2023,118002,4,1.0,1.0,1,-7.0,1,0.0,0.0,0.0,0.0,1.0,154.0,86,High,High,High,High,Low
Die With A Smile,Lady Gaga,Die With A Smile,2020,251667,3,1.0,1.0,6,-8.0,0,0.0,0.0,0.0,0.0,1.0,158.0,86,High,High,High,High,Low
Dirt Cheap,Cody Johnson,Leather,2022,239346,4,1.0,1.0,1,-6.0,1,0.0,0.0,0.0,0.0,0.0,120.0,74,Medium,High,High,High,Low
